Matrix_1,Matrix_2,Matrix_3,Matrix_4,Matrix_5,Matrix_6,Matrix_7,Matrix_8,Matrix_9,Matrix_10,Matrix_11,Matrix_12,Matrix_13,Matrix_14
171,-51.4857142857143,28.6285714285714,171,115,105,106,171,0,0,171,0,0,0
172,-62.6571428571429,28.6285714285714,172,115,106,116,172,0,0,172,0,0,0
173,-73.8285714285714,28.6285714285714,173,116,106,107,173,0,0,173,0,0,0
174,-85,28.6285714285714,174,116,107,117,174,1,0,174,0,0,0
175,-2.26666666666667,26.988898517242,175,117,107,108,175,0,0,175,0,0,0
176,-4.53333333333333,28.3315792510005,176,117,108,118,176,0,0,176,0,0,0
177,-6.8,33.4,177,118,108,109,177,0,0,177,0,0,0
178,-17.9714285714286,33.4,178,118,109,119,178,0,0,178,0,0,0
179,-29.1428571428571,33.4,179,119,109,110,179,0,0,179,0,0,0
180,-40.3142857142857,33.4,180,119,110,120,180,0,0,180,0,0,0
181,-51.4857142857143,33.4,181,120,110,111,181,0,0,181,0,0,0
182,-62.6571428571429,33.4,182,120,111,121,182,0,0,182,0,0,0
183,-73.8285714285714,33.4,183,121,111,112,183,0,0,183,0,0,0
184,-85,33.4,184,121,112,122,184,1,0,184,0,0,0
185,-6.8,41.7,185,122,112,113,185,0,0,185,0,0,0
186,-17.9714285714286,41.7,186,122,113,123,186,0,0,186,0,0,0
187,-29.1428571428571,41.7,187,123,113,114,187,0,0,187,0,0,0
188,-40.3142857142857,41.7,188,123,114,124,188,0,0,188,0,0,0
189,-51.4857142857143,41.7,189,23,12,115,189,0,0,189,0,0,0
190,-62.6571428571429,41.7,190,23,115,125,190,0,0,190,0,0,0
191,-73.8285714285714,41.7,191,125,115,116,191,0,0,191,0,0,0
192,-85,41.7,192,125,116,126,192,1,0,192,0,0,0
193,-6.8,50,193,126,116,117,193,0,0,193,0,0,0
194,-17.9714285714286,50,194,126,117,127,194,0,0,194,0,0,0
195,-29.1428571428571,50,195,127,117,118,195,0,0,195,0,0,0
196,-40.3142857142857,50,196,127,118,128,196,0,0,196,0,0,0
197,-51.4857142857143,50,197,128,118,119,197,0,0,197,0,0,0
198,-62.6571428571429,50,198,128,119,129,198,0,0,198,0,0,0
