Matrix_1,Matrix_2,Matrix_3,Matrix_4,Matrix_5,Matrix_6,Matrix_7,Matrix_8,Matrix_9,Matrix_10,Matrix_11,Matrix_12,Matrix_13,Matrix_14,Matrix_15,Matrix_16,Matrix_17
11,0.000159174582067226,-4.99304642229843e-05,1.03638461523048e-05,3.30845821807791,-0.122171447620854,0.0850159254681254,4.02045417273997,-0.834167402282913,0.0247611729964005,3.37441904570644,11,0.0249707852773762,6.70918017342709e-16,0,0,0
12,0.000158403452310405,-5.74395300193093e-05,5.35118976156245e-06,3.24297749783525,-0.298196431011625,0.043896478512817,3.97676336867381,-1.03198230185019,0.0123934856395656,3.4027414214302,12,0.0126498591376592,7.89268710544711e-05,0,0,0
13,0.000149553096673733,-5.74395300193093e-05,8.55838666178246e-06,3.04130923788504,-0.354663543797684,0.0702055155849343,3.74566428434677,-1.05901859025942,0.0206613995992101,3.2355488043132,13,0.0129684806255194,7.73267566360102e-05,0,0,0
14,0.000148420490395052,-5.66201903306844e-05,6.25654406694876e-06,3.02072871001701,-0.343219958139609,0.051323213049189,3.7179789120416,-1.0404701601642,0.0152521034829451,3.20737875486863,14,0.0132893011376454,6.86587971815694e-05,0,0,0
15,0.000139071684054053,-5.66201903306844e-05,5.9065959134942e-06,2.80770252386143,-0.402867290263172,0.0484525446028821,3.47315029916456,-1.06831506556631,0.0150869913019456,3.03045705644387,15,0.0136148248907653,6.06688913017639e-05,0,0,0
16,0.000138204564242571,-5.38768475546688e-05,5.04810230400226e-06,2.8054470328478,-0.345888629450662,0.0414102142125185,3.458494758713,-0.998936355315866,0.0131375037986313,2.99427598006752,16,0.0153343561529657,-0.000125390006683581,0,0,0
17,0.000130781320574207,-5.38768475546688e-05,3.87639324110047e-06,2.63629760030044,-0.393250470563921,0.0317985383059023,3.26397354185194,-1.02092641211542,0.0104945912243151,2.85385172756548,17,0.0171509275461575,-0.000238239643577972,0,0,0
18,0.000130293710888403,-5.33484944813723e-05,2.96040908387768e-06,2.62855770519313,-0.384322226654742,0.0242846057661841,3.25268397479041,-1.00844849625202,0.0080595652726661,2.84059880303661,18,0.0189205203991108,-0.000274068614663199,0,0,0
19,0.00012583308363868,-5.33484944813723e-05,2.73474421625479e-06,2.52691580822679,-0.412781957805318,0.022433448648965,3.13586819936499,-1.02173434894352,0.00763061674519077,2.75685826257716,19,0.0205785893060956,-0.000270159193863101,0,0,0
20,0.000126469501870015,-5.99589298729565e-05,1.40141838181903e-06,2.49924157076533,-0.559349887517796,0.0114960101633593,3.13272715571701,-1.19283547246948,0.0037585253826652,2.82089129388995,20,0.0221225317237769,-0.000257069529760323,0,0,0
21,0.000140562830346605,2.35348663076516e-05,-1.05948425942342e-06,3.35308642704829,1.4330963920342,-0.00869108181558273,3.750757201325,1.03542561775749,-0.00452650494229905,2.91408380113622,21,0.023578098608273,-0.000254548530810521,0,0,0
22,0.000142519024057758,2.25005517239516e-05,-1.58396558860339e-06,3.39106201101319,1.42200894928668,-0.0129934677190121,3.79892687991892,1.01414408038095,-0.00659845773323585,2.94954182505546,22,0.024990943614878,-0.000286089751107436,0,0,0
23,0.000141419357864298,2.25005517239516e-05,-4.320695005928e-06,3.36600451311533,1.41499284987528,-0.0354432012205032,3.7705274766884,1.0104698863022,-0.0181585882156768,2.92798351947942,23,0.0126507076693464,0.000168359363023547,0,0,0
24,0.000144032088552014,1.87386746133246e-05,-8.78480572776893e-06,3.40153783237701,1.34594275994538,-0.0720628594856045,3.82905078077258,0.918429811549804,-0.0349996561223948,2.96973491866278,24,0.0129739071791921,0.000164078914787394,0,0,0
25,0.000142647473173751,1.87386746133246e-05,-6.48691509188333e-06,3.36998735175253,1.33710862537052,-0.0532129753631054,3.79199492148441,0.915101055638643,-0.026152293135384,2.94060026760445,25,0.0133015399485105,0.000144501117876729,0,0,0
